canonical_key,brand,product_line,shade_code,shade_name,level,normalized_tones,color_type,sub_range,mixing_ratio,discontinued_status,gray_coverage_claim,metadata_json
Redken::Shades EQ Gloss::US,Redken,Shades EQ Gloss,010T,Platinum,10.0,Ash|Blue,demi,,"1:1 (equal parts color : developer), as printed on the official US 2022 chart and the salon-services UK chart",Active - line listed on redkenpro.com and on the official shade-chart hub as of June 2026.,,"{""manufacturer_tone_codes"": [""T""], ""manufacturer_tone_descriptions"": [""Titanium""], ""developer_options"": [""Shades EQ Gloss Processing Solution (official US 2022 chart: 'Use only with Shades EQ Gloss Processing Solution or Processing Solution for Precision Application')"", ""Shades EQ Processing Solution for Precision Application (official US 2022 chart)"", ""Gloss to Gel Processing Solution / Gloss to Gel Developer - transforms Shades EQ into a gel texture for precision application (salon-services UK chart)""], ""special_usage_notes"": ""2022 US chart prints '& Bonder Inside' with this shade name (shade listed in both Shades EQ Gloss and Shades EQ Bonder Inside per chart key)."", ""source_url"": ""https://www.redkenpro.com/-/media/project/loreal/brand-sites/redken/americas/us_us/shade-chart-pdfs/redken-2022-shades-eq-bonder-inside-reanimation-wave-1-mini-shade-chart-na.pdf"", ""source_confidence"": ""high"", ""evidence_status"": ""confirmed"", ""assumptions"": [""Tone family description ('Titanium') taken from the tone-family legend printed on the official Redken Australia Shades EQ mini chart (2013); the shade itself was verified on the official US 2022 mini shade chart."", ""mixing_ratio inherited from line-level default (Stage 5 record)"", ""developer_options inherited from line-level record (Stage 5)""], ""data_gaps"": []}"
Redken::Shades EQ Gloss::US,Redken,Shades EQ Gloss,010NA,Marble,10.0,Natural|Ash,demi,,"1:1 (equal parts color : developer), as printed on the official US 2022 chart and the salon-services UK chart",Active - line listed on redkenpro.com and on the official shade-chart hub as of June 2026.,,"{""manufacturer_tone_codes"": [""NA""], ""manufacturer_tone_descriptions"": [], ""developer_options"": [""Shades EQ Gloss Processing Solution (official US 2022 chart: 'Use only with Shades EQ Gloss Processing Solution or Processing Solution for Precision Application')"", ""Shades EQ Processing Solution for Precision Application (official US 2022 chart)"", ""Gloss to Gel Processing Solution / Gloss to Gel Developer - transforms Shades EQ into a gel texture for precision application (salon-services UK chart)""], ""special_usage_notes"": ""2022 US chart prints 'Bonder Inside' with this shade name."", ""source_url"": ""https://www.redkenpro.com/-/media/project/loreal/brand-sites/redken/americas/us_us/shade-chart-pdfs/redken-2022-shades-eq-bonder-inside-reanimation-wave-1-mini-shade-chart-na.pdf"", ""source_confidence"": ""high"", ""evidence_status"": ""confirmed"", ""assumptions"": [""mixing_ratio inherited from line-level default (Stage 5 record)"", ""developer_options inherited from line-level record (Stage 5)""], ""data_gaps"": [""Manufacturer tone family description for code 'NA' not printed in any fetched source.""]}"
Redken::Shades EQ Gloss::US,Redken,Shades EQ Gloss,010P,Ivory Pearl,10.0,Pearl,demi,,"1:1 (equal parts color : developer), as printed on the official US 2022 chart and the salon-services UK chart",Active - line listed on redkenpro.com and on the official shade-chart hub as of June 2026.,,"{""manufacturer_tone_codes"": [""P""], ""manufacturer_tone_descriptions"": [], ""developer_options"": [""Shades EQ Gloss Processing Solution (official US 2022 chart: 'Use only with Shades EQ Gloss Processing Solution or Processing Solution for Precision Application')"", ""Shades EQ Processing Solution for Precision Application (official US 2022 chart)"", ""Gloss to Gel Processing Solution / Gloss to Gel Developer - transforms Shades EQ into a gel texture for precision application (salon-services UK chart)""], ""special_usage_notes"": ""2022 US chart prints '& Bonder Inside' with this shade name (shade listed in both Shades EQ Gloss and Shades EQ Bonder Inside per chart key)."", ""source_url"": ""https://www.redkenpro.com/-/media/project/loreal/brand-sites/redken/americas/us_us/shade-chart-pdfs/redken-2022-shades-eq-bonder-inside-reanimation-wave-1-mini-shade-chart-na.pdf"", ""source_confidence"": ""high"", ""evidence_status"": ""confirmed"", ""assumptions"": [""mixing_ratio inherited from line-level default (Stage 5 record)"", ""developer_options inherited from line-level record (Stage 5)""], ""data_gaps"": [""Manufacturer tone family description for code 'P' not printed in any fetched source.""]}"
Redken::Shades EQ Gloss::US,Redken,Shades EQ Gloss,010N,Delicate Natural,10.0,Natural,demi,,"1:1 (equal parts color : developer), as printed on the official US 2022 chart and the salon-services UK chart",Active - line listed on redkenpro.com and on the official shade-chart hub as of June 2026.,,"{""manufacturer_tone_codes"": [""N""], ""manufacturer_tone_descriptions"": [""Natural""], ""developer_options"": [""Shades EQ Gloss Processing Solution (official US 2022 chart: 'Use only with Shades EQ Gloss Processing Solution or Processing Solution for Precision Application')"", ""Shades EQ Processing Solution for Precision Application (official US 2022 chart)"", ""Gloss to Gel Processing Solution / Gloss to Gel Developer - transforms Shades EQ into a gel texture for precision application (salon-services UK chart)""], ""special_usage_notes"": ""2022 US chart prints '& Bonder Inside' with this shade name (shade listed in both Shades EQ Gloss and Shades EQ Bonder Inside per chart key)."", ""source_url"": ""https://www.redkenpro.com/-/media/project/loreal/brand-sites/redken/americas/us_us/shade-chart-pdfs/redken-2022-shades-eq-bonder-inside-reanimation-wave-1-mini-shade-chart-na.pdf"", ""source_confidence"": ""high"", ""evidence_status"": ""confirmed"", ""assumptions"": [""Tone family description ('Natural') taken from the tone-family legend printed on the official Redken Australia Shades EQ mini chart (2013); the shade itself was verified on the official US 2022 mini shade chart."", ""mixing_ratio inherited from line-level default (Stage 5 record)"", ""developer_options inherited from line-level record (Stage 5)""], ""data_gaps"": []}"
Redken::Shades EQ Gloss::US,Redken,Shades EQ Gloss,010AG,Misty Beige,10.0,Ash|Gold,demi,,"1:1 (equal parts color : developer), as printed on the official US 2022 chart and the salon-services UK chart",Active - line listed on redkenpro.com and on the official shade-chart hub as of June 2026.,,"{""manufacturer_tone_codes"": [""AG""], ""manufacturer_tone_descriptions"": [], ""developer_options"": [""Shades EQ Gloss Processing Solution (official US 2022 chart: 'Use only with Shades EQ Gloss Processing Solution or Processing Solution for Precision Application')"", ""Shades EQ Processing Solution for Precision Application (official US 2022 chart)"", ""Gloss to Gel Processing Solution / Gloss to Gel Developer - transforms Shades EQ into a gel texture for precision application (salon-services UK chart)""], ""special_usage_notes"": ""2022 US chart prints 'Bonder Inside' with this shade name."", ""source_url"": ""https://www.redkenpro.com/-/media/project/loreal/brand-sites/redken/americas/us_us/shade-chart-pdfs/redken-2022-shades-eq-bonder-inside-reanimation-wave-1-mini-shade-chart-na.pdf"", ""source_confidence"": ""high"", ""evidence_status"": ""confirmed"", ""assumptions"": [""mixing_ratio inherited from line-level default (Stage 5 record)"", ""developer_options inherited from line-level record (Stage 5)""], ""data_gaps"": [""Manufacturer tone family description for code 'AG' not printed in any fetched source.""]}"
Redken::Shades EQ Gloss::US,Redken,Shades EQ Gloss,010NB,Caramel Cloud,10.0,Natural|Beige,demi,,"1:1 (equal parts color : developer), as printed on the official US 2022 chart and the salon-services UK chart",Active - line listed on redkenpro.com and on the official shade-chart hub as of June 2026.,,"{""manufacturer_tone_codes"": [""NB""], ""manufacturer_tone_descriptions"": [""Neutral Brown Blonde""], ""developer_options"": [""Shades EQ Gloss Processing Solution (official US 2022 chart: 'Use only with Shades EQ Gloss Processing Solution or Processing Solution for Precision Application')"", ""Shades EQ Processing Solution for Precision Application (official US 2022 chart)"", ""Gloss to Gel Processing Solution / Gloss to Gel Developer - transforms Shades EQ into a gel texture for precision application (salon-services UK chart)""], ""special_usage_notes"": ""2022 US chart prints 'Bonder Inside' with this shade name."", ""source_url"": ""https://www.redkenpro.com/-/media/project/loreal/brand-sites/redken/americas/us_us/shade-chart-pdfs/redken-2022-shades-eq-bonder-inside-reanimation-wave-1-mini-shade-chart-na.pdf"", ""source_confidence"": ""high"", ""evidence_status"": ""confirmed"", ""assumptions"": [""Tone family description ('Neutral Brown Blonde') taken from the tone-family legend printed on the official Redken Australia Shades EQ mini chart (2013); the shade itself was verified on the official US 2022 mini shade chart."", ""mixing_ratio inherited from line-level default (Stage 5 record)"", ""developer_options inherited from line-level record (Stage 5)""], ""data_gaps"": []}"
Redken::Shades EQ Gloss::US,Redken,Shades EQ Gloss,010VG,Baby,10.0,Violet|Gold,demi,,"1:1 (equal parts color : developer), as printed on the official US 2022 chart and the salon-services UK chart",Active - line listed on redkenpro.com and on the official shade-chart hub as of June 2026.,,"{""manufacturer_tone_codes"": [""VG""], ""manufacturer_tone_descriptions"": [], ""developer_options"": [""Shades EQ Gloss Processing Solution (official US 2022 chart: 'Use only with Shades EQ Gloss Processing Solution or Processing Solution for Precision Application')"", ""Shades EQ Processing Solution for Precision Application (official US 2022 chart)"", ""Gloss to Gel Processing Solution / Gloss to Gel Developer - transforms Shades EQ into a gel texture for precision application (salon-services UK chart)""], ""special_usage_notes"": ""2022 US chart prints 'Bonder Inside' with this shade name."", ""source_url"": ""https://www.redkenpro.com/-/media/project/loreal/brand-sites/redken/americas/us_us/shade-chart-pdfs/redken-2022-shades-eq-bonder-inside-reanimation-wave-1-mini-shade-chart-na.pdf"", ""source_confidence"": ""high"", ""evidence_status"": ""confirmed"", ""assumptions"": [""mixing_ratio inherited from line-level default (Stage 5 record)"", ""developer_options inherited from line-level record (Stage 5)""], ""data_gaps"": [""Manufacturer tone family description for code 'VG' not printed in any fetched source.""]}"
Redken::Shades EQ Gloss::US,Redken,Shades EQ Gloss,010NW,Iced Piña,10.0,Natural|Warm,demi,,"1:1 (equal parts color : developer), as printed on the official US 2022 chart and the salon-services UK chart",Active - line listed on redkenpro.com and on the official shade-chart hub as of June 2026.,,"{""manufacturer_tone_codes"": [""NW""], ""manufacturer_tone_descriptions"": [], ""developer_options"": [""Shades EQ Gloss Processing Solution (official US 2022 chart: 'Use only with Shades EQ Gloss Processing Solution or Processing Solution for Precision Application')"", ""Shades EQ Processing Solution for Precision Application (official US 2022 chart)"", ""Gloss to Gel Processing Solution / Gloss to Gel Developer - transforms Shades EQ into a gel texture for precision application (salon-services UK chart)""], ""special_usage_notes"": ""2022 US chart prints 'Bonder Inside' with this shade name."", ""source_url"": ""https://www.redkenpro.com/-/media/project/loreal/brand-sites/redken/americas/us_us/shade-chart-pdfs/redken-2022-shades-eq-bonder-inside-reanimation-wave-1-mini-shade-chart-na.pdf"", ""source_confidence"": ""high"", ""evidence_status"": ""confirmed"", ""assumptions"": [""mixing_ratio inherited from line-level default (Stage 5 record)"", ""developer_options inherited from line-level record (Stage 5)""], ""data_gaps"": [""Manufacturer tone family description for code 'NW' not printed in any fetched source.""]}"
Redken::Shades EQ Gloss::US,Redken,Shades EQ Gloss,010GI,Tahitian Sand,10.0,Gold,demi,,"1:1 (equal parts color : developer), as printed on the official US 2022 chart and the salon-services UK chart",Active - line listed on redkenpro.com and on the official shade-chart hub as of June 2026.,,"{""manufacturer_tone_codes"": [""GI""], ""manufacturer_tone_descriptions"": [""Gold Iridescent""], ""developer_options"": [""Shades EQ Gloss Processing Solution (official US 2022 chart: 'Use only with Shades EQ Gloss Processing Solution or Processing Solution for Precision Application')"", ""Shades EQ Processing Solution for Precision Application (official US 2022 chart)"", ""Gloss to Gel Processing Solution / Gloss to Gel Developer - transforms Shades EQ into a gel texture for precision application (salon-services UK chart)""], ""special_usage_notes"": ""2022 US chart prints '& Bonder Inside' with this shade name (shade listed in both Shades EQ Gloss and Shades EQ Bonder Inside per chart key)."", ""source_url"": ""https://www.redkenpro.com/-/media/project/loreal/brand-sites/redken/americas/us_us/shade-chart-pdfs/redken-2022-shades-eq-bonder-inside-reanimation-wave-1-mini-shade-chart-na.pdf"", ""source_confidence"": ""high"", ""evidence_status"": ""confirmed"", ""assumptions"": [""mixing_ratio inherited from line-level default (Stage 5 record)"", ""developer_options inherited from line-level record (Stage 5)"", ""Tone family GI decoded as Gold Iridescent per salon-standard Redken Shades EQ legend.""], ""data_gaps"": []}"
Redken::Shades EQ Gloss::US,Redken,Shades EQ Gloss,010G,Lemon Icing,10.0,Gold,demi,,"1:1 (equal parts color : developer), as printed on the official US 2022 chart and the salon-services UK chart",Active - line listed on redkenpro.com and on the official shade-chart hub as of June 2026.,,"{""manufacturer_tone_codes"": [""G""], ""manufacturer_tone_descriptions"": [""Gold""], ""developer_options"": [""Shades EQ Gloss Processing Solution (official US 2022 chart: 'Use only with Shades EQ Gloss Processing Solution or Processing Solution for Precision Application')"", ""Shades EQ Processing Solution for Precision Application (official US 2022 chart)"", ""Gloss to Gel Processing Solution / Gloss to Gel Developer - transforms Shades EQ into a gel texture for precision application (salon-services UK chart)""], ""special_usage_notes"": ""2022 US chart prints 'Bonder Inside' with this shade name."", ""source_url"": ""https://www.redkenpro.com/-/media/project/loreal/brand-sites/redken/americas/us_us/shade-chart-pdfs/redken-2022-shades-eq-bonder-inside-reanimation-wave-1-mini-shade-chart-na.pdf"", ""source_confidence"": ""high"", ""evidence_status"": ""confirmed"", ""assumptions"": [""Tone family description ('Gold') taken from the tone-family legend printed on the official Redken Australia Shades EQ mini chart (2013); the shade itself was verified on the official US 2022 mini shade chart."", ""mixing_ratio inherited from line-level default (Stage 5 record)"", ""developer_options inherited from line-level record (Stage 5)""], ""data_gaps"": []}"
