Level,Descriptor,Natural Remaining Pigment (NRP),Complementary Pigment,Tone to Neutralize,Tone to Intensify
10,Lightest Blonde,Pale Yellow,Violet,Violet,Yellow
9,Very Light Blonde,Yellow,Violet,Violet,Yellow
8,Light Blonde,Yellow/Orange,Blue/Violet,Blue/Violet,Yellow/Orange
7,Medium Blonde,Orange,Blue,Blue,Orange
6,Dark Blonde,Red/Orange,Blue/Green,Blue/Green,Red/Orange
5,Lightest Brown,Red,Green,Green,Red
4,Light Brown,Red,Green,Green,Red
3,Medium Brown,Red,Green,Green,Red
2,Dark Brown,Red,Green,Green,Red
1,Black,Red,Green,Green,Red
