Color Line,Shade Code,Depth,Tone Code,Tone Name,Tonal Family
Color Rhapsody Permanent Cream Color,10.8/10Gy,10,.8/Gy,Grey,Grey
Color Rhapsody Permanent Cream Color,10.82/10GyV,10,.82/GyV,Grey-Violet,Grey
Color Rhapsody Permanent Cream Color,9.8/9Gy,9,.8/Gy,Grey,Grey
Color Rhapsody Permanent Cream Color,9.82/9GyV,9,.82/GyV,Grey-Violet,Grey
Color Rhapsody Permanent Cream Color,8.8/8Gy,8,.8/Gy,Grey,Grey
Color Rhapsody Permanent Cream Color,8.82/8GyV,8,.82/GyV,Grey-Violet,Grey
Color Rhapsody Permanent Cream Color,6.8/6Gy,6,.8/Gy,Grey,Grey
Color Rhapsody Permanent Cream Color,6.82/6GyV,6,.82/GyV,Grey-Violet,Grey
Color Rhapsody Permanent Cream Color,7.7/7Gr,7,.7/Gr,Matte,Green
Color Rhapsody Permanent Cream Color,6.7/6Gr,6,.7/Gr,Matte,Green
Color Rhapsody Permanent Cream Color,5.7/5Gr,5,.7/Gr,Matte,Green
Color Rhapsody Permanent Cream Color,10.1/10B,10,.1/B,Ash,Blue
Color Rhapsody Permanent Cream Color,10.12/10BV,10,.12/BV,Blue-Violet,Blue
Color Rhapsody Permanent Cream Color,10.13/10BG,10,.13/BG,Blue-Green,Blue
Color Rhapsody Permanent Cream Color,9.1/9B,9,.1/B,Ash,Blue
Color Rhapsody Permanent Cream Color,9.13/9BG,9,.13/BG,Blue-Green,Blue
Color Rhapsody Permanent Cream Color,8.1/8B,8,.1/B,Ash,Blue
Color Rhapsody Permanent Cream Color,8.12/8BV,8,.12/BV,Blue-Violet,Blue
Color Rhapsody Permanent Cream Color,7.13/7BG,7,.13/BG,Blue-Green,Blue
Color Rhapsody Permanent Cream Color,6.1/6B,6,.1/B,Ash,Blue
Color Rhapsody Permanent Cream Color,6.12/6BV,6,.12/BV,Blue-Violet,Blue
Color Rhapsody Permanent Cream Color,6.13/6BG,6,.13/BG,Blue-Green,Blue
Color Rhapsody Permanent Cream Color,6.17/6BGr,6,.17/BGr,Blue-Green,Blue
Color Rhapsody Permanent Cream Color,5.13/5BG,5,.13/BG,Blue-Green,Blue
Color Rhapsody Permanent Cream Color,4.1/4B,4,.1/B,Ash,Blue
Color Rhapsody Permanent Cream Color,2.1/2B,2,.1/B,Ash,Blue
Color Rhapsody Permanent Cream Color,10.2/10V,10,.2/V,Iridescent,Violet
Color Rhapsody Permanent Cream Color,10.21/10VB,10,.21/VB,Violet-Blue,Violet
Color Rhapsody Permanent Cream Color,10.24/10VC,10,.24/VC,Violet-Copper,Violet
Color Rhapsody Permanent Cream Color,9.2/9V,9,.2/V,Iridescent,Violet
Color Rhapsody Permanent Cream Color,9.21/9VB,9,.21/VB,Violet-Blue,Violet
Color Rhapsody Permanent Cream Color,8.2/8V,8,.2/V,Iridescent,Violet
Color Rhapsody Permanent Cream Color,8.21/8VB,8,.21/VB,Violet-Blue,Violet
Color Rhapsody Permanent Cream Color,8.24/8VC,8,.24/VC,Violet-Copper,Violet
Color Rhapsody Permanent Cream Color,7.21/7VB,7,.21/VB,Violet-Blue,Violet
Color Rhapsody Permanent Cream Color,6.2/6V,6,.2/V,Iridescent,Violet
Color Rhapsody Permanent Cream Color,4.2/4V,4,.2/V,Iridescent,Violet
Color Rhapsody Permanent Cream Color,10.0/10N,10,.0/N,Natural,Natural
Color Rhapsody Permanent Cream Color,9.0/9N,9,.0/N,Natural,Natural
Color Rhapsody Permanent Cream Color,9.9/9Ch,9,.9/Ch,Brown,Chocolate
Color Rhapsody Permanent Cream Color,8.0/8N,8,.0/N,Natural,Natural
Color Rhapsody Permanent Cream Color,8.00/8NN,8,.00/NN,Intense Natural,Natural
Color Rhapsody Permanent Cream Color,8.9/8Ch,8,.9/Ch,Brown,Chocolate
Color Rhapsody Permanent Cream Color,7.0/7N,7,.0/N,Natural,Natural
Color Rhapsody Permanent Cream Color,7.00/7NN,7,.00/NN,Intense Natural,Natural
