brand,brand_shade,chromasilk_formula,chromasilk_description,notes
Goldwell Topchic,2N,1pt 1N : 1pt 3N,Black & Dark Brown,Natural Tones - 100% gray coverage
Goldwell Topchic,3N,3N,Dark Brown,Natural Tones - 100% gray coverage
Goldwell Topchic,4N,4N,Brown,Natural Tones - 100% gray coverage
Goldwell Topchic,5N,5N,Light Brown,Natural Tones - 100% gray coverage
Goldwell Topchic,6N,6N,Dark Blonde,Natural Tones - 100% gray coverage
Goldwell Topchic,7N,7N,Blonde,Natural Tones - 100% gray coverage
Goldwell Topchic,8N,8N,Light Blonde,Natural Tones - 100% gray coverage
Goldwell Topchic,9N,9N,Very Light Blonde,Natural Tones - 100% gray coverage
Goldwell Topchic,10N,10N,Extra Light Blonde,Natural Tones - 100% gray coverage
Goldwell Topchic,5A,5N,Light Brown,Slight Blue Base - add 1 inch Ash Blue Corrector/1 oz for starting levels 3-5
Goldwell Topchic,6A,6N,Dark Blonde,Slight Blue Base
Goldwell Topchic,7A,7N,Blonde,Slight Blue Base
Goldwell Topchic,8A,8N,Light Blonde,Slight Blue Base
Goldwell Topchic,9A,9N,Very Light Blonde,Slight Blue Base
Goldwell Topchic,10A,10N,Extra Light Blonde,Slight Blue Base
Goldwell Topchic,6NA,1pt 6N : 1pt 6.22,Dark Blonde & Intense Dark Beige Blonde,Natural & Beige Tones - Double Blue Violet Base
Goldwell Topchic,7NA,1pt 7N : 1pt 7.22,Blonde & Intense Beige Blonde,Natural & Beige Tones
Goldwell Topchic,8NA,1pt 8N : 1pt 8.22,Light Blonde & Light Intense Beige Blonde,Natural & Beige Tones
Goldwell Topchic,9NA,1pt 9N : 1pt 9.22,Very Light Blonde & Very Light Intense Beige Blonde,Natural & Beige Tones
Goldwell Topchic,6PA,6.22,Intense Dark Beige Blonde,May appear cooler
Goldwell Topchic,8P,8.22,Light Intense Beige Blonde,May appear cooler
Goldwell Topchic,9P,9.22,Very Light Intense Beige Blonde,May appear cooler
Goldwell Topchic,10P,10.02,Ultra Sheer Beige Blonde,Pearl Tones
Goldwell Topchic,9PV,9.22,Very Light Intense Beige Blonde,May appear more blue
Goldwell Topchic,10V,10.07,Ultra Sheer Platinum Blonde,Pearl/Violet Tones
Goldwell Topchic,4G,4.3,Golden Brown,"Gold, Blue & Violet Bases - may appear 1/2 shade lighter"
Goldwell Topchic,6G,6.3,Dark Golden Blonde,"Gold, Blue & Violet Bases"
Goldwell Topchic,7G,7.3,Golden Blonde,"Gold, Blue & Violet Bases"
Goldwell Topchic,8G,8.3,Light Golden Blonde,"Gold, Blue & Violet Bases"
Goldwell Topchic,9G,9.3,Very Light Golden Blonde,"Gold, Blue & Violet Bases"
Goldwell Topchic,9GN,1pt 9.3 : 1pt 9,Very Light Golden Blonde & Very Light Blonde,Gold Tones & Gold Beige Tones
Goldwell Topchic,7GB,1pt 7.3 : 1pt 7.22,Golden Blonde & Intense Beige Blonde,Gold Beige Tones
Goldwell Topchic,8GB,1pt 8.3 : 1pt 8.22,Light Golden Blonde & Light Intense Beige Blonde,Gold Beige Tones
Goldwell Topchic,9GB,1pt 9.3 : 1pt 9.22,Very Light Golden Blonde & Very Light Intense Beige Blonde,Gold Beige Tones
Goldwell Topchic,10GB,1pt 10.03 : 1pt 10.02,Ultra Sheer Golden Extra Light Blonde & Ultra Sheer Beige Blonde,Gold Beige Tones
Goldwell Topchic,4B,1pt 3N : 1pt 4.45,Dark Brown & Copper Mahogany Brown,"Slight Blue, Gold & Orange Bases"
Goldwell Topchic,5B,1pt 5N : 1pt 4.45,Light Brown & Copper Mahogany Brown,"Slight Blue, Gold & Orange Bases"
Goldwell Topchic,6B,1pt 6N : 1pt 4.45,Dark Blonde & Dark Copper Mahogany Blonde,May appear darker
Goldwell Topchic,7B,1pt 7N : 1pt 6.45,Blonde & Dark Copper Mahogany Blonde,May appear darker
Goldwell Topchic,7BN,7.35,Golden Mahogany Blonde,
Goldwell Topchic,8B,2pts 8.22 : 1pt 9.03,Light Golden Beige Blonde & Very Light Intense Golden Blonde,
Goldwell Topchic,10B,10.02,Ultra Sheer Beige Blonde,
Goldwell Topchic,5NK,4.4,Copper Brown,Gold & Orange Bases
Goldwell Topchic,6KB,5.45,Light Copper Mahogany Brown,Copper Naturals and Copper Gold Tones
Goldwell Topchic,7KG,1pt 7.43 : 1pt 7.46,Copper Golden Blonde & Copper Red Blonde,Or 7.44 for more intense copper
Goldwell Topchic,8KG,7.43,Copper Golden Blonde,May appear darker
Goldwell Topchic,6KR,2pts 6.46 : 1pt 6.66,Dark Copper Red Blonde & Dark Intense Red Blonde,Copper Red Tones
Goldwell Topchic,7KR,7.46,Copper Red Blonde,Copper Red Tones
Goldwell Topchic,7RG,1pt 7.46 : 1pt 7.43,Copper Red Blonde & Copper Golden Blonde,Copper Red Tones
Goldwell Topchic,8KR,1pt 9.04 : 1pt 7.66,Very Light Sheer Copper Blonde & Intense Red Blonde,Copper Red Tones
Goldwell Topchic,5RB,1pt 5N : 1pt 5.6,Light Brown & Light Red Brown,Natural & Bronze Tones
Goldwell Topchic,6RB,1pt 6N : 1pt 5.6,Dark Blonde & Light Red Brown,Natural & Bronze Tones
Goldwell Topchic,7RB,2pts 7N : 1pt 5.6,Blonde & Light Red Brown,May appear darker
Goldwell Topchic,8RB,2pts 8N : 1pt 7.66,Light Blonde & Intense Red Blonde,May appear darker
Goldwell Topchic,4R,1pt 4N : 1pt 5.6,Brown & Light Red Brown,Red Tones
Goldwell Topchic,5R,5.6,Light Red Brown,Red Tones
Goldwell Topchic,6R,6.66,Dark Intense Red Blonde,May appear brighter red
Goldwell Topchic,8RR,NA,No comparison,Vibrant Red Tones
Goldwell Topchic,4V,4.20,Bright Beige Brown,Close match - Cool Fashion & Vibrant Red Tones
Goldwell Topchic,5V,5.7,Light Violet Brown,Violet Tones
Goldwell Topchic,5VR,1pt 5.7 : 1pt 5.6,Light Violet Brown & Light Red Brown,Violet Tones
Goldwell Topchic,6V,1pt 7N : 1pt 5.7,Blonde & Light Violet Brown,Violet Tones
Goldwell Topchic,6VR,1pt 5.7 : 1pt 6.66,Light Violet Brown & Dark Intense Red Blonde,May appear brighter
Goldwell Topchic,11V,10.07,Ultra Sheer Platinum Blonde,"Close match, but may appear darker"
Goldwell Topchic,11A,3 pts 901 : 1 pt 000,Ultra Light Ash Blonde,3/4 000 & 1/4 color gives up to 1.5 additional levels of lift
Goldwell Topchic,11P,3 pts 902 : 1 pt 000,Ultra Light Platinum Blonde,3/4 000 & 1/4 color gives up to 1.5 additional levels of lift
Goldwell Topchic,11N,3 pts 900 : 1pt 000,Ultra Light Blonde,3/4 000 & 1/4 color gives up to 1.5 additional levels of lift
Goldwell Topchic,11G,3 pts 903 : 1 pt 000,Ultra Light Golden Blonde,3/4 000 & 1/4 color gives up to 1.5 additional levels of lift
Goldwell Topchic,Blonding Cream,000,Lightening Booster,
Matrix Color Insider,1N,1N,Black,Natural Tones - 100% gray coverage
Matrix Color Insider,2N,1pt 1N : 1pt 3N,Black & Dark Brown,Natural Tones - 100% gray coverage
Matrix Color Insider,3N,3N,Dark Brown,Natural Tones - 100% gray coverage
Matrix Color Insider,4N,4N,Brown,Natural Tones - 100% gray coverage
Matrix Color Insider,5N,5N,Light Brown,Natural Tones - 100% gray coverage
Matrix Color Insider,6N,6N,Dark Blonde,Natural Tones - 100% gray coverage
