brand,product_line,previous_shade_code,recreation_formula_text,mixing_possible,ratio,components_json,developer_grams,source_key,evidence_status
Schwarzkopf Professional,IGORA ROYAL,3-1,4-13 + 1-1 (2:1) 20g 4-13 + 10g 1-1 + 30g IGORA ROYAL Oil Developer,True,2:1,"[{""grams"": 20, ""shade_code"": ""4-13""}, {""grams"": 10, ""shade_code"": ""1-1""}]",30.0,schwarzkopf_professional_igora_royal_mixing_recommendations_p6,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL,3-99,4-99 + 4-0 (2:1) 20g 4-99 + 10g 4-0 + 30g IGORA ROYAL Oil Developer,True,2:1,"[{""grams"": 20, ""shade_code"": ""4-99""}, {""grams"": 10, ""shade_code"": ""4-0""}]",30.0,schwarzkopf_professional_igora_royal_mixing_recommendations_p6,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL,4-07,4-0 + 5-7 (3:1) 30g 4-0 + 10g 5-7 + 40g IGORA ROYAL Oil Developer,True,3:1,"[{""grams"": 30, ""shade_code"": ""4-0""}, {""grams"": 10, ""shade_code"": ""5-7""}]",40.0,schwarzkopf_professional_igora_royal_mixing_recommendations_p6,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL,4-1,5-0 + 4-13 (1:2) 10g 5-0 + 20g 4-13 + 30g IGORA ROYAL Oil Developer,True,1:2,"[{""grams"": 10, ""shade_code"": ""5-0""}, {""grams"": 20, ""shade_code"": ""4-13""}]",30.0,schwarzkopf_professional_igora_royal_mixing_recommendations_p6,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL,4-57,5-57 + 4-68 (1:1) 15g 5-57 + 15g 4-68 + 30g IGORA ROYAL Oil Developer,True,1:1,"[{""grams"": 15, ""shade_code"": ""5-57""}, {""grams"": 15, ""shade_code"": ""4-68""}]",30.0,schwarzkopf_professional_igora_royal_mixing_recommendations_p6,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL,4-89,4-0 + 0-88 + 0-99 (3:2:1) 30g 4-0 + 20g 0-88 + 10g 0-99 + 60g IGORA ROYAL Oil Developer,True,3:2:1,"[{""grams"": 30, ""shade_code"": ""4-0""}, {""grams"": 20, ""shade_code"": ""0-88""}, {""grams"": 10, ""shade_code"": ""0-99""}]",60.0,schwarzkopf_professional_igora_royal_mixing_recommendations_p6,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL,5-3,5-0 + 0-33 (10:0.5) 30g 5-0 + 2g 0-33 + 32g IGORA ROYAL Oil Developer,True,10:0.5,"[{""grams"": 30, ""shade_code"": ""5-0""}, {""grams"": 2, ""shade_code"": ""0-33""}]",32.0,schwarzkopf_professional_igora_royal_mixing_recommendations_p6,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL,5-889,6-88 + 6-99 (3:1) 30g 6-88 + 10g 6-99 + 40g IGORA ROYAL Oil Developer,True,3:1,"[{""grams"": 30, ""shade_code"": ""6-88""}, {""grams"": 10, ""shade_code"": ""6-99""}]",40.0,schwarzkopf_professional_igora_royal_mixing_recommendations_p6,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL,5-89,5-88 + 5-99 (3:2) 30g 5-88 + 20g 5-99 + 50g IGORA ROYAL Oil Developer,True,3:2,"[{""grams"": 30, ""shade_code"": ""5-88""}, {""grams"": 20, ""shade_code"": ""5-99""}]",50.0,schwarzkopf_professional_igora_royal_mixing_recommendations_p6,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL,6-05,6-00 + 6-5 (3:4) 15g 6-00 + 20g 6-5 + 35g IGORA ROYAL Oil Developer,True,3:4,"[{""grams"": 15, ""shade_code"": ""6-00""}, {""grams"": 20, ""shade_code"": ""6-5""}]",35.0,schwarzkopf_professional_igora_royal_mixing_recommendations_p6,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL,6-07,no mixing possible,False,,[],,schwarzkopf_professional_igora_royal_mixing_recommendations_p6,manufacturer_stated
Schwarzkopf Professional,IGORA ROYAL,6-2,no mixing possible,False,,[],,schwarzkopf_professional_igora_royal_mixing_recommendations_p6,manufacturer_stated
